Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-1.34,-0.86,0.01,-0.02,0.89,10699178
-1.34,-0.86,0.01,-0.02,0.89,10703128
-1.34,-0.86,0.01,-0.02,0.89,10707081
-1.34,-0.86,0.01,-0.02,0.89,10711030
-1.34,-0.86,0.01,-0.02,0.89,10714982
-1.34,-0.86,0.01,-0.02,0.89,10718933
-1.34,-0.86,0.01,-0.02,0.89,10722874
-1.34,-0.86,0.01,-0.02,0.89,10726836
-1.34,-0.86,0.01,-0.02,0.89,10730781
-1.34,-0.86,0.01,-0.02,0.89,10734737
-1.34,-0.86,0.01,-0.02,0.89,10738687
-1.34,-0.86,0.01,-0.02,0.89,10742635
-1.34,-0.86,0.01,-0.02,0.89,10746601
-1.34,-0.86,0.01,-0.02,0.89,10750546
-1.34,-0.86,0.01,-0.02,0.89,10754504
-1.34,-0.86,0.01,-0.02,0.89,10758453
-1.34,-0.86,0.01,-0.02,0.89,10762410
-1.34,-0.86,0.01,-0.02,0.89,10766373
-1.34,-0.86,0.01,-0.02,0.89,10770326
-1.34,-0.86,0.01,-0.02,0.89,10774287
-1.34,-0.87,0.01,-0.02,0.89,10778237
-1.34,-0.87,0.01,-0.02,0.89,10782188
-1.34,-0.87,0.01,-0.02,0.89,10786149
-1.34,-0.87,0.01,-0.02,0.89,10790097
-1.34,-0.87,0.01,-0.02,0.89,10794055
-1.35,-0.87,0.02,-0.02,0.89,10798010
-1.35,-0.87,0.01,-0.02,0.89,10801966
-1.35,-0.87,0.01,-0.02,0.89,10805924
-1.35,-0.87,0.01,-0.02,0.89,10809869
-1.35,-0.87,0.01,-0.02,0.89,10813823
-1.35,-0.87,0.01,-0.02,0.89,10817769
-1.34,-0.87,0.01,-0.02,0.89,10821721
-1.34,-0.87,0.01,-0.02,0.89,10825676
-1.34,-0.87,0.01,-0.02,0.89,10829618
-1.34,-0.87,0.01,-0.02,0.89,10833575
-1.34,-0.86,0.01,-0.02,0.89,10837521
-1.34,-0.86,0.01,-0.02,0.89,10841472
-1.34,-0.86,0.01,-0.02,0.89,10845428
-1.34,-0.86,0.01,-0.02,0.89,10849378
-1.34,-0.86,0.01,-0.02,0.89,10853337
-1.34,-0.86,0.01,-0.02,0.89,10857285
-1.34,-0.86,0.01,-0.02,0.89,10861246
-1.34,-0.86,0.01,-0.02,0.89,10865194
-1.35,-0.86,0.01,-0.02,0.89,10869146
-1.35,-0.86,0.01,-0.02,0.89,10873108
-1.35,-0.86,0.01,-0.02,0.89,10877053
-1.34,-0.86,0.01,-0.02,0.89,10881010
-1.34,-0.86,0.01,-0.02,0.89,10884955
-1.34,-0.86,0.01,-0.02,0.89,10888909
