Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-1.32,-0.85,0.01,-0.02,0.89,12642840
-1.32,-0.85,0.01,-0.02,0.89,12646800
-1.32,-0.85,0.01,-0.02,0.89,12650750
-1.32,-0.85,0.01,-0.02,0.89,12654704
-1.32,-0.84,0.01,-0.02,0.89,12658648
-1.32,-0.84,0.01,-0.02,0.89,12662597
-1.32,-0.84,0.01,-0.02,0.89,12666553
-1.32,-0.84,0.01,-0.02,0.89,12670498
-1.32,-0.84,0.01,-0.02,0.89,12674453
-1.32,-0.84,0.01,-0.02,0.89,12678405
-1.32,-0.84,0.01,-0.02,0.89,12682360
-1.32,-0.84,0.01,-0.02,0.89,12686313
-1.32,-0.84,0.01,-0.02,0.89,12690260
-1.32,-0.84,0.01,-0.02,0.89,12694221
-1.32,-0.85,0.01,-0.02,0.89,12698170
-1.32,-0.85,0.01,-0.02,0.89,12702125
-1.32,-0.85,0.01,-0.02,0.89,12706092
-1.32,-0.85,0.01,-0.02,0.89,12710044
-1.32,-0.85,0.01,-0.02,0.89,12714005
-1.32,-0.85,0.01,-0.02,0.89,12717956
-1.32,-0.85,0.01,-0.02,0.89,12721903
-1.32,-0.85,0.01,-0.02,0.89,12725854
-1.32,-0.85,0.01,-0.02,0.89,12729801
-1.32,-0.85,0.01,-0.02,0.89,12733759
-1.32,-0.85,0.01,-0.02,0.89,12737709
-1.32,-0.85,0.01,-0.02,0.89,12741670
-1.32,-0.85,0.01,-0.02,0.89,12745621
-1.32,-0.85,0.01,-0.02,0.89,12749567
-1.32,-0.85,0.01,-0.02,0.89,12753526
-1.32,-0.85,0.01,-0.02,0.89,12757472
-1.32,-0.85,0.01,-0.02,0.89,12761435
-1.32,-0.85,0.01,-0.02,0.89,12765383
-1.32,-0.85,0.01,-0.02,0.89,12769339
-1.32,-0.85,0.01,-0.02,0.89,12773293
-1.32,-0.85,0.01,-0.02,0.89,12777238
-1.32,-0.84,0.01,-0.02,0.89,12781190
-1.32,-0.84,0.01,-0.02,0.89,12785136
-1.32,-0.84,0.01,-0.02,0.89,12789094
-1.32,-0.84,0.01,-0.02,0.89,12793053
-1.32,-0.84,0.01,-0.02,0.89,12796999
-1.32,-0.84,0.01,-0.02,0.89,12800949
-1.32,-0.84,0.01,-0.02,0.89,12804896
-1.32,-0.84,0.01,-0.02,0.89,12808848
-1.32,-0.84,0.01,-0.02,0.89,12812811
-1.32,-0.84,0.01,-0.02,0.89,12816752
